train_number_clean,train_name,from_station_code,from_station_name,to_station_code,to_station_name,distance_km,duration_hours,duration_minutes
51907,Shamli Saharanpur Passenger,SMQL,SHAMLI,SRE,SAHARANPUR,70.0,2.0,0.0
51908,Saharanpur Shamli Passenger,SRE,SAHARANPUR,SMQL,SHAMLI,70.0,2.0,15.0
51910,Saharanpur Delhi Passenger,SRE,SAHARANPUR,DLI,OLD DELHI,164.0,5.0,25.0
51911,Delhi Shamli Saharanpur Passenger,DLI,OLD DELHI,SRE,SAHARANPUR,164.0,5.0,0.0
51912,Saharanpur Delhi Passenger,SRE,SAHARANPUR,DLI,OLD DELHI,164.0,5.0,15.0
51913,DELHI - SAHARANPUR Passenger,DLI,OLD DELHI,SRE,SAHARANPUR,164.0,4.0,55.0
51914,SAHARANPUR - DELHI Passenger,SRE,SAHARANPUR,DLI,OLD DELHI,164.0,4.0,45.0
51915,Delhi - Farukh Nagar Passenger,DLI,OLD DELHI,FN,Farukhnagar,52.0,1.0,45.0
51916,Farukh Nagar - Delhi Passenger,FN,Farukhnagar,DLI,OLD DELHI,52.0,1.0,45.0
51971,Mathura Alwar Passenger,MTJ,MATHURA JN,AWR,ALWAR,122.0,2.0,55.0
51972,Alwar Mathura Passenger,AWR,ALWAR,MTJ,MATHURA JN,122.0,3.0,0.0
51973,Mathura Alwar Bandikui Passenger,MTJ,MATHURA JN,BKI,BANDIKUI JN,183.0,4.0,35.0
51974,Bandikui Mathura Passenger,BKI,BANDIKUI JN,MTJ,MATHURA JN,183.0,4.0,20.0
51975,Kasganj-Mathura Passenger,KSJ,KASGANJ,MTJ,MATHURA JN,105.0,2.0,5.0
51976,Mathura-KasGanj Passenger,MTJ,MATHURA JN,KSJ,KASGANJ,105.0,2.0,15.0
51881,Gwalior Agra Fast Passenger,GWL,GWALIOR JN,AGC,AGRA CANTT,118.0,2.0,55.0
51883,Bina Gwalior Passenger,BINA,BINA JN,GWL,GWALIOR JN,345.0,10.0,30.0
51884,Gwalior Bina Passenger,GWL,GWALIOR JN,BINA,BINA JN,345.0,9.0,25.0
22464,Rajasthan Sampark Kranti Express,BKN,BIKANER JN,DEE,DELHI SARAI ROHILLA,685.0,12.0,20.0
51196,Ballarshah Wardha Mumbai Passenger,BPQ,BALHARSHAH,CSTM,MUMBAI CST,891.0,18.0,30.0
19306,Shipra Express,HWH,HOWRAH JN,INDB,INDORE JN BG,1754.0,31.0,55.0
22308,Bikaner-Howrah SF Express,BKN,BIKANER JN,HWH,HOWRAH JN,1882.0,33.0,15.0
51816,Agra Jhansi Passenger,AGC,AGRA CANTT,JHS,JHANSI JN,216.0,6.0,0.0
11107,Gwalior-Varanasi Bundelkhand Express,GWL,GWALIOR JN,BSB,VARANASI JN,624.0,14.0,10.0
51253,Amla Chhindwara Passenger,AMLA,AMLA JN,CWA,Chhindwara Junction,115.0,4.0,0.0
51882,Agra Gwalior Fast Passenger,AGC,AGRA CANTT,GWL,GWALIOR JN,118.0,2.0,40.0
19916,Ahmedabad Mahesana InterCity,ADI,AHMEDABAD JN,MSH,MAHESANA JN,69.0,2.0,5.0
12285,Secunderabad- Hazrat Nizamuddin Duronto Express,SC,SECUNDERABAD JN,NZM,DELHI H NIZAMUDDIN,1660.0,21.0,5.0
12918,Gujarat Sampark Kranti Express,NZM,DELHI H NIZAMUDDIN,ADI,AHMEDABAD JN,1085.0,16.0,30.0
22111,Bhusaval Nagpur (Triweekly) Express,BSL,BHUSAVAL JN,NGP,NAGPUR,604.0,10.0,25.0
51111,Chalisgaon Dhule Mix Passenger,CSN,CHALISGAON JN,DHI,Dhule,56.0,1.0,15.0
51113,Chalisgaon Dhule Mix Passenger,CSN,CHALISGAON JN,DHI,Dhule,56.0,1.0,15.0
51114,Dhule Chalisgaon Mix Passenger,DHI,Dhule,CSN,CHALISGAON JN,56.0,1.0,15.0
51115,Chalisgaon Dhule Mix Passenger,CSN,CHALISGAON JN,DHI,Dhule,56.0,1.0,15.0
51886,DAMOH BINA PASS,DMO,DAMOH,BINA,BINA JN,152.0,3.0,35.0
51239,Amla Betul Passenger,AMLA,AMLA JN,BZU,BETUL,23.0,0.0,35.0
12374,RAMPURHAT - SEALDAH Intercity SF Exp,RPH,RAMPUR HAT,SDAH,KOLKATA SEALDAH,,,
12373,SEALDAH - RAMPURHAT Intercity SF Exp,SDAH,KOLKATA SEALDAH,RPH,RAMPUR HAT,,,
11272,BHOPAL - ITARSI Vindhyachal Exp,BPL,BHOPAL JN,ET,ITARSI JN,738.0,18.0,20.0
12163,DADAR - CHENNAI EGMORE SF Exp,DR,MUMBAI DADAR CENTRAL,MS,CHENNAI EGMORE,,,
12164,DADAR - CHENNAI EGMORE SF Exp,MS,CHENNAI EGMORE,DR,MUMBAI DADAR CENTRAL,,,
12319,KOLKATA CHITPUR - AGRA CANTT SF Exp,KOAA,KOLKATA CHITPUR,AGC,AGRA CANTT,1405.0,22.0,50.0
